period,demand
1,51.9
2,43.2
3,64.8
4,67.6
5,63.9
6,69.2
7,49.7
8,59.1
9,56.3
10,62.8
11,91.7
12,59.8
13,88.1
14,77.2
15,85.4
16,93.8
17,70.1
18,86.2
19,98.8
20,102
21,103.3
22,95.7
23,109.4
24,101.5
25,119.6
26,89.9
27,111.8
28,114.8
29,100.1
30,94.3
31,113.7
32,124.2
33,98.6
34,105.5
35,113.8
36,98.1
37,99.1
38,114.2
39,105.6
40,106
41,113.9
42,112.1
43,128.8
44,130.8
45,136
46,99.2
47,126.5
48,115.1
49,101.7
50,99.6
51,131
52,106.5
53,118.5
54,97
55,104.8
56,107.8
57,89.6
58,98.3
59,90.1
60,104.7
61,92
62,106.1
63,118.7
64,86.7
65,86.3
66,82.2
67,84.8
68,114.2
69,95.1
70,110.5
71,114.8
72,106.2
73,96.9
74,105.4
75,78.1
76,90.2
77,100.4
78,96.9
79,72.2
80,98.6
81,80.9
82,101.2
83,81.2
84,71.2
85,92.5
86,85.1
87,96
88,70.8
89,93.4
90,94.6
91,73.4
92,79
93,90.6
94,78.6
95,99.5
96,94.1
97,111.2
98,96.7
99,89
100,104.4
101,115
102,121.5
103,108.6
104,122.7
105,99.1
106,112
107,122.1
108,115
109,133.3
110,132
111,116.6
112,136.8
113,131.9
114,143.6
115,141.5
116,150.1
117,149.8
118,156.3
119,160.5
120,160.5
121,143.7
122,149.8
123,164.2
124,162
125,148.4
126,170.9
127,161.4
128,168.2
129,161.1
130,179.1
131,180.9
132,168.4
133,193.7
134,195.9
135,197
136,201.4
137,214.7
138,209.8
139,220.4
140,224.8
141,212.8
142,196.1
143,219.1
144,215.9
145,207.5
146,232.5
147,226.4
148,238.8
149,242.4
150,230.4
151,246.7
152,233.6
153,228.8
154,216.9
155,227.8
156,224.8
157,240.6
158,244.1
159,244.3
160,233.4
161,237.7
162,244
163,238.7
164,238.2
165,247
166,256.5
167,256.7
168,227.6
169,261.1
170,253.2
171,253.9
172,250
173,238.2
174,230.4
175,223.7
176,253
177,253.6
178,237.8
179,254
180,233.2
181,226.1
182,251.9
183,244.1
184,216.5
185,217.5
186,243.1
187,231.4
188,219.8
189,238
190,224.9
191,226.8
192,221.3
193,214.8
194,204.9
195,227.7
196,233.4
197,211.1
198,204.8
199,227
200,213.3
201,214.8
202,209.1
203,215
204,218.5
205,211.7
206,234.8
207,197.6
208,202.7
209,209.2
210,228.1
211,227.6
212,201.6
213,225.7
214,197.9
215,200.9
216,201.9
217,229.9
218,198.7
219,236.6
220,217.7
221,220
222,204.3
223,230.9
224,208.3
225,218.6
226,226.6
227,221.2
228,249.3
229,233.3
230,216.1
231,231
232,248.5
233,231.3
234,246.6
235,261.1
236,240.6
237,231.4
238,248
239,253.9
240,242.1
241,270.2
242,275.8
243,265.5
244,287.5
245,263.7
246,288.1
247,281.9
248,280.3
249,267.4
250,281.6
251,288.9
252,286.1
253,308.4
254,293
255,283.8
256,323.8
257,319.9
258,304.9
259,297.5
260,298.5
261,312.7
262,310.6
263,326
264,321
265,331.1
266,315.1
267,354.1
268,339.2
269,333
270,350.5
271,330.2
272,342.6
273,351.1
274,366.3
275,353.4
276,343.3
277,335.9
278,368.9
279,378
280,367.8
281,344.1
282,367.9
283,353.7
284,378.4
285,354
286,380.9
287,364.9
288,358.3
289,376.7
290,349.9
291,356.4
292,379.5
293,380.8
294,363.3
295,373.8
296,354.9
297,383.8
298,365.2
299,356.6
300,354.2
301,368.5
302,358.3
303,352.3
304,377.5
305,380.7
306,349.8
307,348.6
308,369.2
309,358.2
310,345.8
311,352.7
312,347
313,343.1
314,374.1
315,357.9
316,345.7
317,357.8
318,342
319,335.1
320,332.9
321,359.5
322,339.5
323,357.7
324,330.7
325,329.5
326,352.7
327,330.4
328,354.9
329,336.2
330,325.6
331,331.6
332,335
333,348.5
334,323.6
335,349.2
336,327.2
337,344.9
338,336.9
339,340.1
340,336.6
341,339
342,352.9
343,344.9
344,327
345,349.2
346,336.1
347,352.8
348,349
349,344.7
350,357.5
351,348.8
352,345.7
353,359.1
354,373.2
355,353.7
356,351.9
357,374.6
358,370.4
359,356.8
360,381.4
361,360.7
362,373.2
363,388.4
364,373.1
365,371
366,393.1
367,386
368,380.4
369,411.3
370,383.3
371,386.2
372,407.2
373,386.6
374,405.9
375,419.5
376,407.8
377,412.1
378,431.8
379,421
380,445.1
381,447.3
382,422.9
383,445.9
384,457.3
385,431.1
386,448
387,449.9
388,453.5
389,439.9
390,441.1
391,451.4
392,459.7
393,445.9
394,464.4
395,458.8
396,455.7
